"Fatal","Day","Lat","Lon","NonUSA","Nonairplane","Phase","Event","Personal","Multiple"
0,100,35.6344,-76.7539,0,0,"TOF","LOC-G",1,0
0,100,29.7686,-97.7756,0,0,"LDG","LOC-G",1,0
0,100,38.66,-90.6461,0,0,"LDG","LOC-G",0,0
0,101,40.7528,-73.0536,0,0,"ICL","SCF-PP",0,0
0,101,30.5156,-96.7042,0,0,"ENR","SCF-PP",0,0
0,103,33.2692,-111.8111,0,0,"LDG","LOC-G",1,0
0,103,38.9636,-94.3717,0,0,"LDG","LOC-G",1,0
0,104,29.1042,-81.3147,0,1,"ICL","SCF-PP",0,0
0,104,36.4606,-116.8797,0,0,"LDG","Other",0,0
0,105,36.1067,-84.5956,0,0,"ENR","SCF-PP",1,0
0,105,40.8214,-82.5167,0,0,"LDG","SCF-NP",0,0
0,105,44.5222,-85.1031,0,0,"ENR","Other",1,0
0,106,25.9167,-79.7,1,0,"ENR","SCF-PP",0,0
0,106,36.1686,-97.0869,0,0,"LDG","LOC-G",1,0
0,107,39.1731,-76.6903,0,1,"MNV","LOC-I",1,0
0,107,34.58,-77.945,0,0,"ENR","SCF-PP",0,0
0,108,33.4081,-118.4122,0,0,"APR","Other",0,0
1,108,20.515,-86.9289,1,0,"Other","Other",1,0
1,109,43.1136,-75.4222,0,0,"TOF","LOC-I",0,0
1,109,32.9997,-91.315,0,0,"MNV","LOC-I",1,0
0,109,48.4706,-122.4217,0,0,"LDG","LOC-G",0,0
0,109,45.0842,-93.1586,0,1,"MNV","LOC-I",1,0
0,109,27.435,-80.6772,0,0,"ENR","SCF-PP",1,0
0,109,36.5617,-119.6325,0,0,"ENR","SCF-PP",1,0
0,109,61.5947,-149.0881,0,0,"LDG","LOC-G",0,0
0,109,61.4958,-149.1425,0,0,"LDG","ARC",0,0
1,110,38.975,-76.3222,0,0,"APR","LOC-I",0,0
0,110,41.0644,-75.2519,0,0,"ENR","SCF-PP",0,0
1,110,30.3603,-89.8233,0,0,"APR","LOC-I",1,0
0,111,40,-76,0,1,"Other","SCF-PP",1,0
1,111,61.3886,-149.5617,0,0,"MNV","Other",1,0
0,111,34.2136,-119.0944,0,0,"LDG","ARC",1,0
0,111,39.0683,-75.535,0,0,"LDG","LOC-G",0,0
0,112,26.0717,-97.4764,0,1,"MNV","LOC-I",1,0
1,112,45.9017,-122.7372,0,0,"TOF","Other",0,0
0,112,35.9931,-95.8867,0,0,"LDG","Other",0,0
0,112,40.0306,-86.2514,0,0,"APR","Other",1,0
0,112,36.1867,-96.15,0,0,"ICL","SCF-PP",0,0
0,113,39.7842,-104.5375,0,1,"APR","LOC-I",0,0
0,114,33.0386,-116.9125,0,0,"TOF","LOC-G",0,0
0,114,40.8372,-89.8897,0,0,"ENR","FUEL",0,0
0,114,41.2103,-86.3714,0,1,"TOF","LOC-I",0,0
